,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
88,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,27,18,7,1,3,0
89,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,24,17,1,2,1,0
90,Tom Carroll\Tom-Carroll,eng ENG,MF,Tottenham,24,1,0,0,0,0
91,Joel Castro Pereira\Joel-Castro-Pereira,pt POR,GK,Manchester Utd,20,1,0,0,0,0
92,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,27,15,0,1,3,0
93,Lee Cattermole\Lee-Cattermole,eng ENG,MF,Sunderland,28,8,0,0,4,0
94,Santi Cazorla\Santi-Cazorla,es ESP,MF,Arsenal,31,8,2,1,2,0
95,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,34,35,0,0,2,0
96,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,West Brom,26,31,5,4,2,0
97,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Chelsea,21,10,0,0,2,0
98,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,21,1,1,0,0,0
99,Calum Chambers\Calum-Chambers,eng ENG,DF,Middlesbrough,21,24,1,1,4,0
100,Ben Chilwell\Ben-Chilwell,eng ENG,DFMF,Leicester City,19,12,1,0,2,0
101,Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,28,15,0,0,0,0
102,Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,25,16,1,1,3,0
103,Adam Clayton\Adam-Clayton,eng ENG,MF,Middlesbrough,27,34,0,2,10,0
104,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,26,17,0,2,3,0
105,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,26,10,0,0,1,0
106,Gaël Clichy\Gael-Clichy,fr FRA,DF,Manchester City,31,25,1,0,2,0
107,Sam Clucas\Sam-Clucas,eng ENG,MF,Hull City,25,37,3,1,9,1
108,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,25,37,0,2,0,0
109,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,27,26,4,3,3,0
110,James Collins\James-Collins,wal WAL,DF,West Ham,32,22,2,0,3,0
111,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,19,6,0,1,1,0
112,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,25,38,2,0,5,0
113,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,25,29,0,0,5,0
114,Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,27,30,0,0,7,0
115,Diego Costa\Diego-Costa,es ESP,FW,Chelsea,27,35,20,6,10,0
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,24,36,0,0,1,0
117,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Liverpool,24,31,13,8,2,0
118,Aaron Cresswell\Aaron-Cresswell,eng ENG,DFMF,West Ham,26,26,0,2,3,2
119,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,35,27,7,2,3,0
120,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,29,34,4,3,1,0
121,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,29,23,3,1,2,0
122,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,26,18,0,0,3,0
123,Ben Davies\Ben-Davies,wal WAL,DFMF,Tottenham,23,23,1,3,1,0
124,Curtis Davies\Curtis-Davies,eng ENG,DF,Hull City,31,26,0,2,4,0
125,Tom Davies\Tom-Davies,eng ENG,MF,Everton,18,24,2,3,4,0
126,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,31,32,0,3,3,0
127,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,26,37,4,0,10,0
128,Michael Dawson\Michael-Dawson,eng ENG,DF,Hull City,32,22,3,0,4,0
129,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,25,36,6,17,4,0
130,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Arsenal,31,1,0,0,0,0
131,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,28,37,10,4,7,0
132,Jermain Defoe\Jermain-Defoe,eng ENG,FW,Sunderland,33,37,15,2,1,0
133,Steven Defour\Steven-Defour,be BEL,MF,Burnley,28,21,1,3,1,0
134,Damien Delaney\Damien-Delaney,ie IRL,DF,Crystal Palace,35,30,0,2,8,0
135,Fabian Delph\Fabian-Delph,eng ENG,MF,Manchester City,26,7,1,0,1,0
136,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,29,30,1,1,5,0
137,Jason Denayer\Jason-Denayer,be BEL,MFDF,Sunderland,21,24,0,0,2,0
138,Memphis Depay\Memphis-Depay,nl NED,FWMF,Manchester Utd,22,4,0,0,1,0
139,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Swansea City,23,8,1,0,1,0
140,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Everton,22,11,0,0,1,0
141,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,22,36,2,1,6,0
142,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Southampton,25,21,1,0,4,2
143,Adama Diomande\Adama-Diomande,no NOR,FWMF,Hull City,26,22,2,0,1,0
144,Papy Djilobodji\Papy-Djilobodji,sn SEN,DF,Sunderland,27,18,0,0,5,2
145,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,23,20,1,0,4,0
146,Stewart Downing\Stewart-Downing,eng ENG,MFFW,Middlesbrough,32,30,1,3,1,0
147,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Leicester City,26,29,1,2,6,0
148,Nathan Dyer\Nathan-Dyer,eng ENG,MFFW,Swansea City,28,8,0,1,0,0
149,Ovie Ejaria\Ovie-Ejaria,eng ENG,MF,Liverpool,18,2,0,0,0,0
150,Omar Elabdellaoui\Omar-Elabdellaoui,no NOR,DFMF,Hull City,24,8,0,0,0,0
151,Andrew Eleftheriou\Andrew-Eleftheriou,eng ENG,DF,Watford,18,1,0,0,0,0
152,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DFMF,Hull City,28,33,0,2,3,1
153,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,24,14,0,1,1,0
154,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Tottenham,24,36,8,15,0,0
155,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Middlesbrough,27,11,0,0,2,0
156,Jonny Evans\Jonny-Evans,nir NIR,DF,West Brom,28,31,2,2,8,0
157,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,31,37,0,0,1,0
158,Fábio\Fabio,br BRA,DF,Middlesbrough,26,24,0,0,8,0
159,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,29,29,5,12,8,0
160,Adam Federici\Adam-Federici,au AUS,GK,Bournemouth,31,2,0,0,1,0
161,Sofiane Feghouli\Sofiane-Feghouli,dz ALG,MFFW,West Ham,26,21,3,2,1,1
162,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,28,28,1,0,9,1
163,Leroy Fer\Leroy-Fer,nl NED,MF,Swansea City,26,34,6,2,9,0
164,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,West Ham,20,28,0,1,4,0
165,Federico Fernández\Federico-Fernandez,ar ARG,DF,Swansea City,27,27,0,2,7,0
166,Fernandinho\Fernandinho,br BRA,MFDF,Manchester City,31,32,2,1,4,2
167,Fernando\Fernando,br BRA,MFDF,Manchester City,29,15,0,0,3,0
168,Sam Field\Sam-Field,eng ENG,MF,West Brom,18,8,0,0,2,0
169,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,24,35,11,7,5,0
170,Viktor Fischer\Viktor-Fischer,dk DEN,FWMF,Middlesbrough,22,13,0,3,0,0
